trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-84.31953741053763,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-126.28436018134188,"{0: 10, 1: 4, 2: 2, 3: 3, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-85.03844901244054,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-74.23351872546301,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,12,-80.1842361773881,"{0: 7, 1: 1, 2: 3, 3: 1, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-63.189411107812916,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-66.97384419748727,"{0: 14, 1: 6, 2: 5, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-156.1013030578048,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-101.9602729880436,"{0: 11, 1: 1, 2: 5, 3: 3, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-157.5255148104729,"{0: 12, 1: 0, 2: 3, 3: 3, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-52.72923152669474,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-198.1251007693457,"{0: 13, 1: 2, 2: 4, 3: 4, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-66.00728834390684,"{0: 14, 1: 8, 2: 2, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-148.85712235574857,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,-143.66313352559783,"{0: 15, 1: 6, 2: 7, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-266.66794003686783,"{0: 15, 1: 2, 2: 7, 3: 2, 4: 4}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-66.20649741042374,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,-227.20941595954065,"{0: 12, 1: 5, 2: 10, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,7,-103.99210691935112,"{0: 10, 1: 2, 2: 3, 3: 2, 4: 1}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,3,-130.70399037129755,"{0: 6, 1: 0, 2: 10, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",25,0,-237.16675006293954,"{0: 13, 1: 0, 2: 7, 3: 1, 4: 4}",0
2,True,"{'a': 0, 'e': 0}",20,0,-130.85715550664713,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",25,0,-119.09654373637227,"{0: 14, 1: 6, 2: 3, 3: 0, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",25,0,-53.33314502429255,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,0,-126.39563399614056,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",20,5,-70.8280237863184,"{0: 8, 1: 0, 2: 6, 3: 1, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,0,-244.53815247976803,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 6}",0
8,True,"{'a': 0, 'e': 0}",25,0,-167.33152826369368,"{0: 11, 1: 1, 2: 10, 3: 2, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",20,0,-59.27320100305215,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",25,1,-179.11338687638323,"{0: 13, 1: 2, 2: 5, 3: 1, 4: 3}",1
