trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 1.0}",20,4,-125.232603156748,"{0: 9, 1: 3, 2: 0, 3: 2, 4: 2}",1
2,False,"{'a': 0.6, 'e': 0.8253356149096783}",25,0,-112.85131119604354,"{0: 19, 1: 3, 2: 0, 3: 0, 4: 3}",0
3,False,"{'a': 0.6, 'e': 0.3623577544766736}",25,0,-29.509865382071645,"{0: 20, 1: 2, 2: 1, 3: 2, 4: 0}",0
4,False,"{'a': 0.6, 'e': -0.2272020946930869}",20,0,2.585351955921834,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
5,False,"{'a': 0.6, 'e': -0.7373937155412454}",20,14,6.8704495257697324,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.6, 'e': -0.9899924966004454}",25,0,25.766716680006155,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
7,False,"{'a': 0.6, 'e': -0.8967584163341471}",25,13,13.143414507135873,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.6, 'e': -0.4902608213406995}",20,0,23.909175740199974,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
9,False,"{'a': 0.6, 'e': 0.0874989834394464}",25,0,2.77358914868356,"{0: 22, 1: 3, 2: 0, 3: 0, 4: 0}",0
10,False,"{'a': 0.6, 'e': 0.6346928759426339}",30,9,-6.021992196230901,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 0}",1
11,False,"{'a': 0.6, 'e': 0.9601702866503661}",25,0,-146.46257980145404,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
12,False,"{'a': 0.6, 'e': 0.9502325919585296}",20,7,-6.97742324680568,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.6, 'e': 0.6083513145322552}",20,0,-10.102483146842285,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
