trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 1.0}",20,0,-102.52756309575071,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
2,False,"{'a': 0.1, 'e': 0.9048374180359595}",20,0,-157.79631230887404,"{0: 8, 1: 4, 2: 6, 3: 0, 4: 2}",0
3,False,"{'a': 0.1, 'e': 0.8187307530779818}",20,0,-68.91558302394014,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
4,False,"{'a': 0.1, 'e': 0.7408182206817179}",20,0,-12.328949606331385,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
5,False,"{'a': 0.1, 'e': 0.6703200460356393}",20,0,3.371523548150702,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
6,False,"{'a': 0.1, 'e': 0.6065306597126334}",30,1,-131.0711913341139,"{0: 19, 1: 2, 2: 6, 3: 0, 4: 2}",1
7,False,"{'a': 0.1, 'e': 0.5488116360940264}",25,0,-88.1783622956866,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
8,False,"{'a': 0.1, 'e': 0.4965853037914095}",25,17,-7.76293800743085,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
9,False,"{'a': 0.1, 'e': 0.44932896411722156}",35,18,4.890220112259421,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
10,False,"{'a': 0.1, 'e': 0.4065696597405991}",35,0,-54.4277932144966,"{0: 27, 1: 4, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.1, 'e': 0.36787944117144233}",25,0,-117.43695495926777,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
12,False,"{'a': 0.1, 'e': 0.33287108369807955}",20,0,10.967475313107622,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.1, 'e': 0.3011942119122021}",20,0,9.690898256210762,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
14,False,"{'a': 0.1, 'e': 0.2725317930340126}",20,0,-23.962536029601157,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
