trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-131.13798935448003,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.5}",30,0,-164.07211050450456,"{0: 14, 1: 8, 2: 6, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.25}",20,0,-16.242055947782163,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.125}",20,0,21.63581964469803,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.0625}",20,0,-8.183578638606956,"{0: 15, 1: 5, 2: 0, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.03125}",20,0,23.306852323723376,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.015625}",20,0,0.09404745522884417,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.0078125}",30,0,33.732626796469994,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.00390625}",20,0,16.972918535362506,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.001953125}",20,0,18.173862244682656,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.0009765625}",25,0,19.787797883544382,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.00048828125}",20,0,22.43030041274184,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.000244140625}",20,0,31.671105198830258,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.0001220703125}",25,0,22.761703387217818,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 6.103515625e-05}",20,0,21.815497974279285,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 3.0517578125e-05}",25,0,18.506309453166214,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.52587890625e-05}",20,12,15.3331301170773,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 7.62939453125e-06}",25,0,27.405652127691,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 3.814697265625e-06}",20,0,8.516721677920938,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.9073486328125e-06}",20,0,32.05002863970441,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,31.746116099092006,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",30,21,5.56214097883337,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,11,13.52155709354821,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,7,19.28939472878104,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,0,6.740172786621049,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,0,40.776067810090595,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,0,24.740949777334777,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,0,17.16526230702142,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,0,31.83785636362385,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",30,4,46.125359512008345,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",30,18,19.6514697376182,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",20,0,13.301018171892151,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
13,True,"{'a': 0, 'e': 0}",20,0,20.547879575897895,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
14,True,"{'a': 0, 'e': 0}",30,4,4.940683530312387,"{0: 23, 1: 1, 2: 1, 3: 1, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",25,0,-48.82858090626789,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
16,True,"{'a': 0, 'e': 0}",20,4,26.22316173135979,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",20,14,8.707020807767872,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0, 'e': 0}",30,9,26.911690044989786,"{0: 19, 1: 2, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",25,0,31.252783178366304,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,True,"{'a': 0, 'e': 0}",20,10,17.798815589411348,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,True,"{'a': 0, 'e': 0}",30,14,30.757551161637764,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,True,"{'a': 0, 'e': 0}",20,12,15.352213890827665,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,True,"{'a': 0, 'e': 0}",20,8,24.44810131070224,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,True,"{'a': 0, 'e': 0}",25,10,9.844039914650935,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
25,True,"{'a': 0, 'e': 0}",20,0,23.564486573208278,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
26,True,"{'a': 0, 'e': 0}",25,0,26.52655827975682,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
27,True,"{'a': 0, 'e': 0}",25,13,20.63084460502368,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,True,"{'a': 0, 'e': 0}",20,2,26.110648432136884,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,True,"{'a': 0, 'e': 0}",20,3,28.781021680656174,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,True,"{'a': 0, 'e': 0}",20,7,26.811692151259805,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,True,"{'a': 0, 'e': 0}",20,6,23.95021260675379,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,True,"{'a': 0, 'e': 0}",35,20,24.49305743901661,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,True,"{'a': 0, 'e': 0}",20,11,17.814893008944598,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,True,"{'a': 0, 'e': 0}",25,10,24.897787162549765,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,True,"{'a': 0, 'e': 0}",25,16,18.280953663618025,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,True,"{'a': 0, 'e': 0}",30,17,19.111877140821157,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,True,"{'a': 0, 'e': 0}",25,10,21.7275632480246,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,True,"{'a': 0, 'e': 0}",30,0,52.11023774950714,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
39,True,"{'a': 0, 'e': 0}",25,2,32.22155077755362,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,True,"{'a': 0, 'e': 0}",25,7,31.88332332420812,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
