trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.95, 'e': 1.0}",20,0,-97.64358724678478,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
2,False,"{'a': 0.95, 'e': 0.95}",35,0,-325.4122987271706,"{0: 19, 1: 5, 2: 4, 3: 0, 4: 7}",0
3,False,"{'a': 0.95, 'e': 0.9025}",20,0,-72.35199795916047,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
4,False,"{'a': 0.95, 'e': 0.8573749999999999}",25,0,-75.55911050081104,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.95, 'e': 0.8145062499999999}",20,0,-92.04471224734017,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.95, 'e': 0.7737809374999998}",20,0,-100.14784490007081,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
7,False,"{'a': 0.95, 'e': 0.7350918906249998}",20,0,-102.5194331482384,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
8,False,"{'a': 0.95, 'e': 0.6983372960937497}",30,0,-124.41492824047498,"{0: 23, 1: 0, 2: 3, 3: 2, 4: 2}",0
9,False,"{'a': 0.95, 'e': 0.6634204312890623}",25,0,-162.37357659785977,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
10,False,"{'a': 0.95, 'e': 0.6302494097246091}",20,15,9.528594785485978,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.95, 'e': 0.5987369392383787}",20,0,-39.58220105894666,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
12,False,"{'a': 0.95, 'e': 0.5688000922764597}",30,0,-47.08192374197605,"{0: 23, 1: 3, 2: 2, 3: 2, 4: 0}",0
13,False,"{'a': 0.95, 'e': 0.5403600876626367}",35,13,23.0766032412765,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.95, 'e': 0.5133420832795048}",20,0,2.8501973278434605,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
15,False,"{'a': 0.95, 'e': 0.48767497911552954}",20,2,8.57028482596169,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.95, 'e': 0.46329123015975304}",25,0,-67.17862053112674,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
17,False,"{'a': 0.95, 'e': 0.44012666865176536}",20,1,16.84502915815729,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.95, 'e': 0.4181203352191771}",20,0,-42.69367330872954,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
19,False,"{'a': 0.95, 'e': 0.3972143184582182}",30,15,-18.255273681808884,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
20,False,"{'a': 0.95, 'e': 0.37735360253530725}",30,0,-23.47974553051911,"{0: 24, 1: 2, 2: 4, 3: 0, 4: 0}",0
21,False,"{'a': 0.95, 'e': 0.3584859224085419}",30,0,-16.5562030852627,"{0: 28, 1: 1, 2: 0, 3: 0, 4: 1}",0
22,False,"{'a': 0.95, 'e': 0.3405616262881148}",25,0,-5.81110246803149,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
23,False,"{'a': 0.95, 'e': 0.323533544973709}",20,13,-12.087081502392255,"{0: 4, 1: 3, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.95, 'e': 0.3073568677250236}",25,9,-65.77372993858285,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 1}",1
25,False,"{'a': 0.95, 'e': 0.2919890243387724}",20,0,-8.250190401103877,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
26,False,"{'a': 0.95, 'e': 0.27738957312183377}",25,0,-88.96822186194126,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
27,False,"{'a': 0.95, 'e': 0.26352009446574204}",20,0,-12.424904134581118,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
28,False,"{'a': 0.95, 'e': 0.2503440897424549}",25,0,11.660929386416422,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
29,False,"{'a': 0.95, 'e': 0.23782688525533216}",25,0,-21.769113421191616,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
30,False,"{'a': 0.95, 'e': 0.22593554099256555}",25,0,-25.592234299086194,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
31,False,"{'a': 0.95, 'e': 0.21463876394293727}",20,0,-20.04916638662673,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
32,False,"{'a': 0.95, 'e': 0.2039068257457904}",20,7,1.1689628895087543,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
