trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.95, 'e': 1}",20,0,-181.25545861789308,"{0: 10, 1: 0, 2: 7, 3: 0, 4: 3}",0
2,False,"{'a': 0.95, 'e': 1}",25,0,-257.12290076018115,"{0: 11, 1: 2, 2: 6, 3: 2, 4: 4}",0
3,False,"{'a': 0.95, 'e': 0}",20,0,22.150175731701363,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
4,False,"{'a': 0.95, 'e': 0}",30,0,9.620412595160543,"{0: 26, 1: 4, 2: 0, 3: 0, 4: 0}",0
5,False,"{'a': 0.95, 'e': 0}",20,0,0.6119577080439846,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
6,False,"{'a': 0.95, 'e': 0}",30,0,23.23906426285748,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
7,False,"{'a': 0.95, 'e': 0}",20,0,24.904974751982223,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.95, 'e': 0}",20,0,16.088834486167958,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
9,False,"{'a': 0.95, 'e': 0}",20,0,11.568384171240195,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
10,False,"{'a': 0.95, 'e': 0}",20,0,25.173558639846625,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
11,False,"{'a': 0.95, 'e': 0}",20,0,19.457319966790244,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.95, 'e': 0}",25,0,12.817463466461962,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.95, 'e': 0}",25,6,29.199691107714937,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.95, 'e': 0}",30,0,9.578518609607919,"{0: 26, 1: 4, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.95, 'e': 0}",20,0,27.18784931197781,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.95, 'e': 0}",20,0,25.097079355027866,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.95, 'e': 0}",20,0,20.656325248762833,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.95, 'e': 0}",20,0,17.86878200942283,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.95, 'e': 0}",20,0,23.52913866055148,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.95, 'e': 0}",25,13,16.174832007308204,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,0,33.72236437724036,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",35,21,31.76071573986109,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,0,26.805500732790705,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",35,23,6.973649364604085,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,0,25.184060788755346,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,2,32.174072769208,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
