trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 0.945}",25,0,-126.27326152998644,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
2,False,"{'a': 0.2, 'e': 0.94}",35,0,-157.6832689007147,"{0: 23, 1: 2, 2: 7, 3: 1, 4: 2}",0
3,False,"{'a': 0.2, 'e': 0.9349999999999999}",25,0,-186.36827671588068,"{0: 15, 1: 0, 2: 6, 3: 1, 4: 3}",0
4,False,"{'a': 0.2, 'e': 0.9299999999999999}",30,0,-173.44856239047343,"{0: 16, 1: 5, 2: 6, 3: 1, 4: 2}",0
5,False,"{'a': 0.2, 'e': 0.9249999999999999}",20,0,-103.78150246434771,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
6,False,"{'a': 0.2, 'e': 0.9199999999999999}",20,4,-36.03130262863663,"{0: 9, 1: 4, 2: 3, 3: 0, 4: 0}",1
7,False,"{'a': 0.2, 'e': 0.9149999999999999}",20,0,-73.36748617692638,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.2, 'e': 0.9099999999999999}",20,0,-54.98090955567568,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
9,False,"{'a': 0.2, 'e': 0.9049999999999999}",20,0,-88.0568514936543,"{0: 9, 1: 5, 2: 5, 3: 1, 4: 0}",0
10,False,"{'a': 0.2, 'e': 0.8999999999999999}",30,0,-181.02415441658312,"{0: 19, 1: 2, 2: 4, 3: 2, 4: 3}",0
11,False,"{'a': 0.2, 'e': 0.8949999999999999}",25,0,-96.19017226881127,"{0: 14, 1: 2, 2: 8, 3: 1, 4: 0}",0
12,False,"{'a': 0.2, 'e': 0.8899999999999999}",25,0,-152.75753564182642,"{0: 13, 1: 3, 2: 3, 3: 6, 4: 0}",0
13,False,"{'a': 0.2, 'e': 0.8849999999999999}",30,0,-147.6641140306868,"{0: 17, 1: 4, 2: 7, 3: 0, 4: 2}",0
14,False,"{'a': 0.2, 'e': 0.8799999999999999}",20,0,-28.864694955098887,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
15,False,"{'a': 0.2, 'e': 0.8749999999999999}",20,0,-99.01808027633949,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
16,False,"{'a': 0.2, 'e': 0.8699999999999999}",20,0,-74.72020503692785,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.2, 'e': 0.8649999999999999}",20,0,-51.974487504607744,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
18,False,"{'a': 0.2, 'e': 0.8599999999999999}",20,0,-24.946917016889106,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
19,False,"{'a': 0.2, 'e': 0.8549999999999999}",20,0,-88.69255875644369,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
20,False,"{'a': 0.2, 'e': 0.8499999999999999}",20,0,-62.20138399442538,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
21,False,"{'a': 0.2, 'e': 0.8449999999999999}",30,0,-155.7662844741436,"{0: 17, 1: 5, 2: 5, 3: 1, 4: 2}",0
22,False,"{'a': 0.2, 'e': 0.8399999999999999}",35,0,-191.9880283166578,"{0: 23, 1: 1, 2: 6, 3: 2, 4: 3}",0
23,False,"{'a': 0.2, 'e': 0.8349999999999999}",20,0,-19.999729373487025,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
24,False,"{'a': 0.2, 'e': 0.8299999999999998}",20,0,-82.60310828165403,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
25,False,"{'a': 0.2, 'e': 0.8249999999999998}",20,10,-20.083262130173154,"{0: 6, 1: 2, 2: 2, 3: 0, 4: 0}",1
26,False,"{'a': 0.2, 'e': 0.8199999999999998}",30,0,-67.82535505476658,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
27,False,"{'a': 0.2, 'e': 0.8149999999999998}",20,0,-92.5348208256409,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
28,False,"{'a': 0.2, 'e': 0.8099999999999998}",20,0,-112.51863808577089,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
29,False,"{'a': 0.2, 'e': 0.8049999999999998}",20,1,-52.76596553568374,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 1}",1
30,False,"{'a': 0.2, 'e': 0.7999999999999998}",20,5,-18.41601580937718,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 0}",1
31,False,"{'a': 0.2, 'e': 0.7949999999999998}",25,0,-71.57525150540349,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
32,False,"{'a': 0.2, 'e': 0.7899999999999998}",35,0,-130.3778375289964,"{0: 22, 1: 4, 2: 7, 3: 1, 4: 1}",0
33,False,"{'a': 0.2, 'e': 0.7849999999999998}",20,0,-95.4042774099681,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
