trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-120.804540688968,"{0: 17, 1: 3, 2: 9, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9920319148370607}",20,0,-174.97313675193627,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.9841273200552851}",30,0,-123.0132138294055,"{0: 17, 1: 1, 2: 11, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.9762857097579093}",20,0,-80.27123191501241,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9685065820791976}",25,0,-79.66389184976786,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9607894391523232}",20,14,-3.971517431476004,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.9531337870775047}",25,0,-187.0707444175695,"{0: 15, 1: 2, 2: 2, 3: 3, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.9455391358903963}",35,0,-141.17507092272697,"{0: 25, 1: 1, 2: 6, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9380049995307295}",20,0,-66.06855011145575,"{0: 9, 1: 7, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9305308958112057}",30,0,-154.63443099224887,"{0: 17, 1: 5, 2: 5, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.9231163463866358}",20,0,-93.36214068525192,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.9157608767233256}",30,0,-95.02539950746147,"{0: 20, 1: 2, 2: 5, 3: 3, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9084640160687062}",30,0,-169.9656412702066,"{0: 18, 1: 5, 2: 3, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.9012252974212048}",35,0,-132.76697755955237,"{0: 19, 1: 6, 2: 8, 3: 2, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.8940442575003572}",20,0,-141.14504162912343,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.8869204367171575}",20,0,-128.67394647500967,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.8798533791446438}",20,0,-6.775013070035631,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.8728426324887193}",20,3,-78.37697593679393,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 2}",1
19,False,"{'a': 0.5, 'e': 0.865887748059205}",35,12,-137.56054675292285,"{0: 11, 1: 3, 2: 6, 3: 2, 4: 1}",1
20,False,"{'a': 0.5, 'e': 0.8589882807411235}",20,0,-18.448958534634393,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.8521437889662113}",25,0,-124.89738623655538,"{0: 11, 1: 6, 2: 5, 3: 3, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.8453538346846587}",20,0,-70.41078088421752,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.838617983337074}",25,4,-97.12303473096927,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 2}",1
24,False,"{'a': 0.5, 'e': 0.8319358038266718}",20,0,-79.43955901108686,"{0: 12, 1: 3, 2: 2, 3: 3, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.8253068684916824}",25,0,-56.484123160078994,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.8187307530779818}",20,0,-91.96559562943102,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.8122070367119391}",25,0,-13.40479159168873,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.8057353018734796}",25,0,-52.240206966227,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.7993151343693651}",20,5,-113.78229814544387,"{0: 8, 1: 1, 2: 2, 3: 3, 4: 1}",1
30,False,"{'a': 0.5, 'e': 0.7929461233066837}",20,0,-120.7199129248693,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.7866278610665535}",25,0,-71.54456805052847,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
