trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-152.02227801921086,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-42.992578178342136,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-45.990658723325836,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,5,-13.420594590574373,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-210.05914064939833,"{0: 12, 1: 0, 2: 8, 3: 3, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-137.96542550275657,"{0: 17, 1: 0, 2: 12, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",35,0,-328.7856281508655,"{0: 18, 1: 4, 2: 5, 3: 2, 4: 6}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,5,-91.13188550132254,"{0: 12, 1: 4, 2: 1, 3: 2, 4: 1}",1
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-133.22840864132988,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-132.39704438107253,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,4,-110.16846063625098,"{0: 13, 1: 1, 2: 3, 3: 3, 4: 1}",1
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-253.73826368908982,"{0: 14, 1: 4, 2: 7, 3: 1, 4: 4}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-112.1077582989505,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-71.80263161110716,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-94.637742998256,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-148.7288981978181,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,3,-48.735100792268206,"{0: 20, 1: 2, 2: 4, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-131.91728433821987,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-105.62915301518774,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-156.67616632385835,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-182.27431092971523,"{0: 12, 1: 5, 2: 5, 3: 0, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-77.58287269746008,"{0: 24, 1: 1, 2: 2, 3: 2, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-92.40911875476223,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-87.13930136852566,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-133.12467357133957,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-95.82092277738371,"{0: 10, 1: 4, 2: 3, 3: 3, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-118.76725302181998,"{0: 13, 1: 3, 2: 0, 3: 2, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-131.20398865838627,"{0: 14, 1: 9, 2: 4, 3: 3, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",35,0,-128.0879791540159,"{0: 21, 1: 6, 2: 4, 3: 4, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-147.4892414583398,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
